window_index,start,end,duration_s,sample_count,max_ground_distance_km,min_ground_distance_km,max_aspect_ratio,centroid_time
0,2026-03-15T07:50:40Z,2026-03-15T07:51:40Z,60.0,1,301.58016334971603,301.58016334971603,1.0000000000000033,2026-03-15T07:51:10Z
1,2026-03-16T07:48:40Z,2026-03-16T07:49:40Z,60.0,1,256.56713931893614,256.56713931893614,1.0000000000000653,2026-03-16T07:49:10Z
2,2026-03-17T07:46:40Z,2026-03-17T07:47:40Z,60.0,1,236.92579003195644,236.92579003195644,1.0000000000000866,2026-03-17T07:47:10Z
3,2026-03-18T07:45:10Z,2026-03-18T07:46:10Z,60.0,2,286.6820828494147,247.95280181358038,1.0000000000000584,2026-03-18T07:45:10Z
4,2026-03-19T07:43:10Z,2026-03-19T07:44:10Z,60.0,2,286.32694148251005,199.70974562499867,1.0000000000000948,2026-03-19T07:43:10Z
5,2026-03-20T07:41:10Z,2026-03-20T07:42:10Z,60.0,2,343.1544565125925,112.54800825704342,1.0000000000000853,2026-03-20T07:41:10Z
6,2026-03-21T07:39:40Z,2026-03-21T07:40:40Z,60.0,1,25.548938850455627,25.548938850455627,1.0000000000000753,2026-03-21T07:40:10Z
7,2026-03-22T07:37:40Z,2026-03-22T07:38:40Z,60.0,1,67.95355597833316,67.95355597833316,1.0000000000000455,2026-03-22T07:38:10Z
8,2026-03-23T07:36:10Z,2026-03-23T07:37:10Z,60.0,2,302.81868987602087,155.54652037000085,1.0000000000001006,2026-03-23T07:36:10Z
9,2026-03-24T07:34:10Z,2026-03-24T07:35:10Z,60.0,2,251.5188774978277,243.54145795793528,1.0000000000000624,2026-03-24T07:34:10Z
10,2026-03-25T07:32:10Z,2026-03-25T07:33:10Z,60.0,2,331.7791952909672,225.83588771604644,1.0000000000000808,2026-03-25T07:32:10Z
11,2026-03-26T07:30:40Z,2026-03-26T07:31:40Z,60.0,1,233.10651089344339,233.10651089344339,1.0000000000000453,2026-03-26T07:31:10Z
12,2026-03-27T07:28:40Z,2026-03-27T07:29:40Z,60.0,1,270.88667255225755,270.88667255225755,1.0000000000000653,2026-03-27T07:29:10Z
13,2026-03-28T07:26:40Z,2026-03-28T07:27:40Z,60.0,1,328.98258255505937,328.98258255505937,1.000000000000045,2026-03-28T07:27:10Z
